x,y,flux(W/m2)
3.32,3.72,0.00675175
3.4,3.72,0.00535483
3.48,3.72,0.0062861
3.56,3.72,0.00372509
3.64,3.72,0.00558763
3.72,3.72,0.00442353
3.8,3.72,0.00465635
3.88,3.72,0.00419071
3.96,3.72,0.00395788
-3.96,3.64,0.00325944
-3.88,3.64,0.0053548
-3.8,3.64,0.00675171
-3.72,3.64,0.00721735
-3.64,3.64,0.00535482
-3.56,3.64,0.00488919
-3.48,3.64,0.00721738
-3.4,3.64,0.00558765
-3.32,3.64,0.00675176
-3.24,3.64,0.00814868
-3.16,3.64,0.00582049
-3.08,3.64,0.00884715
-3,3.64,0.0058205
-2.92,3.64,0.00768307
-2.84,3.64,0.00814872
-2.76,3.64,0.00791591
-2.68,3.64,0.00651899
-2.6,3.64,0.00651899
-2.52,3.64,0.00582054
-2.44,3.64,0.00605336
-2.36,3.64,0.0086144
-2.28,3.64,0.00582055
-2.2,3.64,0.0102442
-2.12,3.64,0.00745031
-2.04,3.64,0.00838161
-1.96,3.64,0.00838161
-1.88,3.64,0.00768315
-1.8,3.64,0.00791598
-1.72,3.64,0.010477
-1.64,3.64,0.00977857
-1.56,3.64,0.0109427
-1.48,3.64,0.00745035
-1.4,3.64,0.00675188
-1.32,3.64,0.0114084
-1.24,3.64,0.0088473
-1.16,3.64,0.00861448
-1.08,3.64,0.0107099
-1,3.64,0.0114084
-0.92,3.64,0.0111756
-0.84,3.64,0.00931296
-0.76,3.64,0.0102443
-0.68,3.64,0.00954579
-0.6,3.64,0.0128053
-0.52,3.64,0.0121069
-0.44,3.64,0.0128053
-0.36,3.64,0.0111756
-0.28,3.64,0.0109427
-0.2,3.64,0.0130382
-0.12,3.64,0.0125725
-0.04,3.64,0.0104771
0.04,3.64,0.0116412
0.12,3.64,0.00908015
0.2,3.64,0.0107099
0.28,3.64,0.0137366
0.36,3.64,0.0139695
0.44,3.64,0.0121069
0.52,3.64,0.0128053
0.6,3.64,0.00931297
0.68,3.64,0.0135038
0.76,3.64,0.00977862
0.84,3.64,0.0109427
0.92,3.64,0.00931296
1,3.64,0.00954578
1.08,3.64,0.0114084
1.16,3.64,0.00931295
1.24,3.64,0.00931294
1.32,3.64,0.0109427
1.4,3.64,0.00977858
1.48,3.64,0.0100114
1.56,3.64,0.0100114
1.64,3.64,0.00861446
1.72,3.64,0.00931292
1.8,3.64,0.00931291
1.88,3.64,0.00814879
1.96,3.64,0.00884726
2.04,3.64,0.00768314
2.12,3.64,0.00884725
2.2,3.64,0.00884724
2.28,3.64,0.00791595
2.36,3.64,0.00791594
2.44,3.64,0.00745029
2.52,3.64,0.00675182
2.6,3.64,0.0088472
2.68,3.64,0.00768309
2.76,3.64,0.00535488
2.84,3.64,0.00721744
2.92,3.64,0.00582051
3,3.64,0.0069846
3.08,3.64,0.00907997
3.16,3.64,0.00721741
3.24,3.64,0.0060533
3.32,3.64,0.00419075
3.4,3.64,0.00675175
3.48,3.64,0.00488919
3.56,3.64,0.00419073
3.64,3.64,0.00628609
3.72,3.64,0.00582045
3.8,3.64,0.00512199
3.88,3.64,0.00512198
3.96,3.64,0.00605324
-3.96,3.56,0.00442353
-3.88,3.56,0.00698453
-3.8,3.56,0.00605326
-3.72,3.56,0.00605327
-3.64,3.56,0.00721737
-3.56,3.56,0.00535483
-3.48,3.56,0.00582047
-3.4,3.56,0.0072174
-3.32,3.56,0.00488921
-3.24,3.56,0.00628613
-3.16,3.56,0.00488922
-3.08,3.56,0.00675178
-3,3.56,0.00558769
-2.92,3.56,0.00535487
-2.84,3.56,0.00465642
-2.76,3.56,0.00721745
-2.68,3.56,0.0076831
-2.6,3.56,0.00535489
-2.52,3.56,0.00721747
-2.44,3.56,0.00861441
-2.36,3.56,0.00745031
-2.28,3.56,0.00651902
-2.2,3.56,0.00651903
-2.12,3.56,0.00768314
-2.04,3.56,0.00908008
-1.96,3.56,0.00838162
-1.88,3.56,0.00582057
-1.8,3.56,0.00884728
-1.72,3.56,0.00884729
-1.64,3.56,0.011874
-1.56,3.56,0.0100114
-1.48,3.56,0.00814882
-1.4,3.56,0.00651906
-1.32,3.56,0.0137366
-1.24,3.56,0.00768319
-1.16,3.56,0.013271
-1.08,3.56,0.00884732
-1,3.56,0.013271
-0.92,3.56,0.0135038
-0.84,3.56,0.0121069
-0.76,3.56,0.0111756
-0.68,3.56,0.00884733
-0.6,3.56,0.011874
-0.52,3.56,0.0102443
-0.44,3.56,0.0155992
-0.36,3.56,0.0100115
-0.28,3.56,0.013271
-0.2,3.56,0.0116412
-0.12,3.56,0.0123397
-0.04,3.56,0.0142023
0.04,3.56,0.0142023
0.12,3.56,0.0139695
0.2,3.56,0.0128053
0.28,3.56,0.0114084
0.36,3.56,0.0135038
0.44,3.56,0.0137366
0.52,3.56,0.0130382
0.6,3.56,0.0130382
0.68,3.56,0.0095458
0.76,3.56,0.0104771
0.84,3.56,0.0116412
0.92,3.56,0.0130382
1,3.56,0.00954579
1.08,3.56,0.00931296
1.16,3.56,0.0121069
1.24,3.56,0.0128053
1.32,3.56,0.00768319
1.4,3.56,0.0114084
1.48,3.56,0.00861447
1.56,3.56,0.00884729
1.64,3.56,0.00931294
1.72,3.56,0.0109427
1.8,3.56,0.00791599
1.88,3.56,0.010477
1.96,3.56,0.00884727
2.04,3.56,0.0100114
2.12,3.56,0.00768314
2.2,3.56,0.00977854
2.28,3.56,0.00745031
2.36,3.56,0.00721748
2.44,3.56,0.0100113
2.52,3.56,0.00838158
2.6,3.56,0.00628618
2.68,3.56,0.006519
2.76,3.56,0.00605335
2.84,3.56,0.00582052
2.92,3.56,0.00908
3,3.56,0.00814871
3.08,3.56,0.00675178
3.16,3.56,0.00791588
3.24,3.56,0.00675177
3.32,3.56,0.00675176
3.4,3.56,0.00558766
3.48,3.56,0.00605329
3.56,3.56,0.00535483
3.64,3.56,0.00605328
3.72,3.56,0.00465636
3.8,3.56,0.00465636
3.88,3.56,0.00488917
3.96,3.56,0.00558761
-3.96,3.48,0.00465635
-3.88,3.48,0.00535481
-3.8,3.48,0.00186255
-3.72,3.48,0.00698455
-3.64,3.48,0.00698456
-3.56,3.48,0.00628611
-3.48,3.48,0.00535484
-3.4,3.48,0.00488921
-3.32,3.48,0.00628613
-3.24,3.48,0.00628614
-3.16,3.48,0.00605332
-3.08,3.48,0.00628615
-3,3.48,0.00628616
-2.92,3.48,0.00721745
-2.84,3.48,0.00675181
-2.76,3.48,0.00628617
-2.68,3.48,0.00931286
-2.6,3.48,0.00768312
-2.52,3.48,0.0102442
-2.44,3.48,0.00884724
-2.36,3.48,0.00791596
-2.28,3.48,0.00791596
-2.2,3.48,0.0109427
-2.12,3.48,0.00954574
-2.04,3.48,0.00931292
-1.96,3.48,0.00791598
-1.88,3.48,0.00931293
-1.8,3.48,0.0100114
-1.72,3.48,0.0100114
-1.64,3.48,0.00675189
-1.56,3.48,0.0100114
-1.48,3.48,0.00745036
-1.4,3.48,0.0123397
-1.32,3.48,0.013271
-1.24,3.48,0.0114084
-1.16,3.48,0.00838167
-1.08,3.48,0.0130382
-1,3.48,0.00977862
-0.92,3.48,0.0104771
-0.84,3.48,0.0116412
-0.76,3.48,0.00768321
-0.68,3.48,0.0109428
-0.6,3.48,0.0139695
-0.52,3.48,0.0116412
-0.44,3.48,0.0128054
-0.36,3.48,0.0128054
-0.28,3.48,0.0137367
-0.2,3.48,0.0100115
-0.12,3.48,0.0149008
-0.04,3.48,0.0160649
0.04,3.48,0.0139695
0.12,3.48,0.0142023
0.2,3.48,0.0111756
0.28,3.48,0.014668
0.36,3.48,0.0107099
0.44,3.48,0.0130382
0.52,3.48,0.0111756
0.6,3.48,0.0111756
0.68,3.48,0.0123397
0.76,3.48,0.0144351
0.84,3.48,0.0128053
0.92,3.48,0.0107099
1,3.48,0.0104771
1.08,3.48,0.0100114
1.16,3.48,0.0123397
1.24,3.48,0.0102443
1.32,3.48,0.0100114
1.4,3.48,0.00791601
1.48,3.48,0.0107099
1.56,3.48,0.0125725
1.64,3.48,0.00954577
1.72,3.48,0.00977858
1.8,3.48,0.00931294
1.88,3.48,0.00721752
1.96,3.48,0.011874
2.04,3.48,0.010477
2.12,3.48,0.00908009
2.2,3.48,0.0102442
2.28,3.48,0.00838161
2.36,3.48,0.00768314
2.44,3.48,0.00814877
2.52,3.48,0.00628619
2.6,3.48,0.0114083
2.68,3.48,0.00908004
2.76,3.48,0.00838157
2.84,3.48,0.00721745
2.92,3.48,0.00814873
3,3.48,0.00745026
3.08,3.48,0.0079159
3.16,3.48,0.00535486
3.24,3.48,0.0046564
3.32,3.48,0.00512203
3.4,3.48,0.0060533
3.48,3.48,0.00675176
3.56,3.48,0.0048892
3.64,3.48,0.00582047
3.72,3.48,0.00395791
3.8,3.48,0.00419073
3.88,3.48,0.00442354
3.96,3.48,0.00186254
-3.96,3.4,0.00628608
-3.88,3.4,0.00558763
-3.8,3.4,0.00721737
-3.72,3.4,0.00558765
-3.64,3.4,0.00558765
-3.56,3.4,0.00698457
-3.48,3.4,0.00605331
-3.4,3.4,0.00605331
-3.32,3.4,0.00651896
-3.24,3.4,0.0107097
-3.16,3.4,0.00814872
-3.08,3.4,0.00698462
-3,3.4,0.00698463
-2.92,3.4,0.0076831
-2.84,3.4,0.00745028
-2.76,3.4,0.00791593
-2.68,3.4,0.00558772
-2.6,3.4,0.00628619
-2.52,3.4,0.00698467
-2.44,3.4,0.00861443
-2.36,3.4,0.0102442
-2.28,3.4,0.00838162
-2.2,3.4,0.00698469
-2.12,3.4,0.00838163
-2.04,3.4,0.0114083
-1.96,3.4,0.00838164
-1.88,3.4,0.0104771
-1.8,3.4,0.0107099
-1.72,3.4,0.0100114
-1.64,3.4,0.0135038
-1.56,3.4,0.00838166
-1.48,3.4,0.00791602
-1.4,3.4,0.0123397
-1.32,3.4,0.0130382
-1.24,3.4,0.011874
-1.16,3.4,0.011874
-1.08,3.4,0.0135038
-1,3.4,0.0104771
-0.92,3.4,0.0109428
